version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,80,3861,6,10,171,-11,148,0,1,0,1,2,0,0,45,3510,5,17,198,-5,160,0
0,2,0,0,0,1,2,0,0,80,3861,5,9,200,-5,145,0,1,0,1,2,0,0,48,3510,3,7,202,-2,209,0
0,2,0,0,0,1,2,0,0,80,3861,5,2,255,-19,255,0,1,0,1,2,0,0,48,3510,4,10,189,-15,189,0
0,2,0,0,0,1,2,0,0,80,3861,9,11,235,-1,233,0,1,0,1,2,0,0,48,3510,4,7,180,0,175,0
0,2,0,0,0,1,2,0,0,85,3861,4,12,194,1,216,0,1,0,1,2,0,0,52,3510,4,17,156,-25,155,0
0,2,0,0,0,1,2,0,0,86,3861,6,11,255,-3,255,0,1,0,1,2,0,0,52,3159,5,8,216,6,193,0
0,2,0,0,0,1,2,0,0,86,3510,5,15,222,-9,223,0,1,0,1,2,0,0,48,3159,5,-25,254,-5,199,0
0,2,0,0,0,1,2,0,0,80,3510,8,6,129,-1,88,0,1,0,1,2,0,0,42,3159,2,-4,120,-18,118,0
0,2,0,0,0,1,2,0,0,80,3510,3,11,134,-10,99,0,1,0,1,2,0,0,39,3159,2,8,134,-17,94,0
0,2,0,0,0,1,2,0,0,80,3861,4,0,188,-9,171,0,1,0,1,2,0,0,44,3159,4,0,137,35,158,0
0,2,0,0,0,1,2,0,0,80,3861,4,26,237,3,251,0,1,0,1,2,0,0,44,3510,5,3,159,-29,170,0
0,2,0,0,0,1,2,0,0,86,3861,4,22,243,-20,244,0,1,0,1,2,0,0,51,3510,3,20,165,18,207,0
0,2,0,0,0,1,2,0,0,85,3861,6,11,184,-6,161,0,1,0,1,2,0,0,51,3510,3,13,122,9,144,0
0,2,0,0,0,1,2,0,0,74,3861,7,11,188,-5,157,0,1,0,1,2,0,0,51,3510,4,31,169,-33,152,0
0,2,0,0,0,1,2,0,0,75,3861,13,24,255,-8,199,0,1,0,1,2,0,0,50,3510,4,9,170,1,201,0
0,2,0,0,0,1,2,0,0,80,3861,24,2,203,0,195,0,1,0,1,2,0,0,50,3510,3,4,173,0,143,0
0,2,0,0,0,1,2,0,0,92,3861,13,7,194,3,227,0,1,0,1,2,0,0,50,3510,4,43,215,-26,172,0
