version,headerAuthStatus,nmaStatus,chainInForce,CPKS,osnmaEnabled,numSVs,nmaHeaderUpdate,timSyncEnabled,timSyncStatus,timSyncReqDiff,reserved0,dsmAuthenticationStatus,hashFunction,macFunction,pubKeyId,macLookupTable,keySize,macSize,fromNVS,teslaKeyAuthStatus,wnSf,towSf,chainId,authSVs,authNumTim,timingAuthResult,macAdkdType,pubKeySrc,merkleRootSrc,merkleRootVal,futureMerkleRootSrc,futureMerkleRootVal,pubKeyVal,futurePubKeyVal,futurePubKeySrc,futurePubKeyId
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,604,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,729,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,851,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,979,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1104,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1229,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1354,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1480,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1601,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1730,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1855,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1979,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2104,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2229,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2351,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
