msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,50,57,11,19,13,47,254,14,0,0,29,0
1,1,50,57,8,19,13,47,255,14,0,0,31,0
1,1,49,57,8,19,13,47,256,14,0,0,31,0
1,1,48,57,8,19,13,47,257,14,0,0,31,0
1,1,48,57,8,19,13,47,258,14,0,0,32,0
1,1,49,57,8,19,13,47,259,14,0,0,32,0
1,1,49,57,8,19,13,47,260,14,0,0,30,0
1,1,50,57,8,19,13,47,261,14,0,0,32,0
1,1,50,57,8,19,13,47,262,14,0,0,30,0
1,1,49,57,8,19,13,47,263,14,0,0,30,0
1,1,48,57,8,19,13,47,264,14,0,0,32,0
1,1,49,57,8,19,13,47,265,14,0,0,30,0
1,1,49,57,8,19,13,47,266,14,0,0,30,0
1,1,49,57,8,19,13,47,267,14,0,0,30,0
1,1,49,57,8,19,13,47,268,14,0,0,31,0
1,1,50,57,8,19,13,47,269,14,0,0,32,0
1,1,50,57,8,19,13,47,270,14,0,0,30,0
1,1,51,57,8,19,13,47,271,14,0,0,30,0
1,1,55,57,8,19,13,47,272,14,0,0,31,0
1,1,56,57,8,19,13,47,273,14,0,0,32,0
1,1,54,57,8,19,13,47,274,14,0,0,31,0
1,1,53,57,8,19,13,47,275,14,0,0,31,0
