iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94008000,0,0,4,18,4,0,31355610,2441,7,0,1,1
94009000,0,0,4,18,4,0,31355609,2441,7,0,1,1
94010000,0,0,4,18,4,0,31355608,2441,7,0,1,1
94011000,0,0,4,18,4,0,31355607,2441,7,0,1,1
94012000,0,0,4,18,4,0,31355606,2441,7,0,1,1
94013000,0,0,4,18,4,0,31355605,2441,7,0,1,1
94014000,0,0,4,18,4,0,31355604,2441,7,0,1,1
94015000,0,0,4,18,4,0,31355603,2441,7,0,1,1
94016000,0,0,4,18,4,0,31355602,2441,7,0,1,1
94017000,0,0,4,18,4,0,31355601,2441,7,0,1,1
94018000,0,0,4,18,4,0,31355600,2441,7,0,1,1
94019000,0,0,4,18,4,0,31355599,2441,7,0,1,1
94020000,0,0,4,18,4,0,31355598,2441,7,0,1,1
94021000,0,0,4,18,4,0,31355597,2441,7,0,1,1
94022000,0,0,4,18,4,0,31355596,2441,7,0,1,1
94023000,0,0,4,18,4,0,31355595,2441,7,0,1,1
94024000,0,0,4,18,4,0,31355594,2441,7,0,1,1
94025000,0,0,4,18,4,0,31355593,2441,7,0,1,1
94026000,0,0,4,18,4,0,31355592,2441,7,0,1,1
94027000,0,0,4,18,4,0,31355591,2441,7,0,1,1
94028000,0,0,4,18,4,0,31355590,2441,7,0,1,1
94029000,0,0,4,18,4,0,31355589,2441,7,0,1,1
94030000,0,0,4,18,4,0,31355588,2441,7,0,1,1
94031000,0,0,4,18,4,0,31355587,2441,7,0,1,1
94032000,0,0,4,18,4,0,31355586,2441,7,0,1,1
94033000,0,0,4,18,4,0,31355585,2441,7,0,1,1
94034000,0,0,4,18,4,0,31355584,2441,7,0,1,1
94035000,0,0,4,18,4,0,31355583,2441,7,0,1,1
94036000,0,0,4,18,4,0,31355582,2441,7,0,1,1
94037000,0,0,4,18,4,0,31355581,2441,7,0,1,1
94038000,0,0,4,18,4,0,31355580,2441,7,0,1,1
94039000,0,0,4,18,4,0,31355579,2441,7,0,1,1
94040000,0,0,4,18,4,0,31355578,2441,7,0,1,1
94041000,0,0,4,18,4,0,31355577,2441,7,0,1,1
94042000,0,0,4,18,4,0,31355576,2441,7,0,1,1
94043000,0,0,4,18,4,0,31355575,2441,7,0,1,1
