iTOW,lon,lat,height,hMSL,hAcc,vAcc
93934000,114.1800296,22.3056926,12790,14403,3330,5104
93935000,114.1800308,22.3056926,13275,14888,3279,5043
93936000,114.1800336,22.305692,13900,15514,3191,4915
93937000,114.1800355,22.3056911,14420,16033,3107,4801
93938000,114.1800369,22.30569,14737,16350,3033,4693
93939000,114.180038,22.3056891,15099,16713,2976,4613
93940000,114.1800395,22.305688,15716,17329,2936,4552
93941000,114.1800399,22.305689,16253,17866,2907,4516
93942000,114.1800384,22.3056892,16488,18101,2855,4429
93943000,114.1800359,22.3056881,16677,18291,2802,4353
93944000,114.1800315,22.3056855,16711,18324,2752,4276
93945000,114.1800267,22.3056827,16954,18568,2712,4211
93946000,114.1800247,22.30568,17236,18850,2673,4148
93947000,114.1800224,22.305678,17455,19069,2636,4086
93948000,114.180022,22.3056773,17584,19197,2606,4036
93949000,114.1800228,22.3056775,17707,19320,2580,3990
93950000,114.1800237,22.3056775,17851,19464,2552,3943
93951000,114.1800249,22.3056772,18002,19616,2520,3895
93952000,114.1800239,22.3056765,18099,19713,2492,3853
93953000,114.1800209,22.305675,18260,19873,2465,3813
93954000,114.180017,22.3056712,18451,20065,2441,3777
93955000,114.1800141,22.3056666,18521,20135,2416,3733
93956000,114.1800113,22.3056627,18425,20039,2395,3695
93957000,114.1800092,22.3056603,18443,20057,2376,3665
93958000,114.180007,22.3056582,18452,20065,2359,3631
93959000,114.1800033,22.3056535,18508,20121,2341,3597
93960000,114.1800008,22.3056488,18545,20159,2328,3568
93961000,114.1800005,22.3056441,18557,20171,2314,3542
93962000,114.1800015,22.3056377,18673,20286,2300,3521
93963000,114.180003,22.3056296,18942,20555,2278,3492
93964000,114.1800084,22.3056224,19224,20838,2250,3447
93965000,114.1800154,22.3056158,19352,20965,2229,3414
93966000,114.1800217,22.3056092,19551,21164,2213,3387
93967000,114.1800282,22.3056037,19661,21274,2199,3363
93968000,114.1800347,22.3055982,19702,21315,2179,3330
93969000,114.1800408,22.3055948,19807,21420,2168,3318
93970000,114.1800483,22.3055923,19930,21543,2163,3310
93971000,114.1800544,22.3055903,20327,21940,2151,3297
93972000,114.1800613,22.3055886,20399,22012,2134,3265
93973000,114.1800679,22.3055875,20631,22244,2111,3236
93974000,114.1800752,22.3055871,20539,22152,2095,3213
93975000,114.1800822,22.305589,20554,22167,2096,3224
93976000,114.1800904,22.3055922,20591,22204,2103,3237
93977000,114.1800978,22.3055958,20628,22241,2107,3250
93978000,114.1801052,22.3055985,20643,22256,2112,3259
93979000,114.1801108,22.3056024,20527,22140,2092,3231
93980000,114.1801129,22.3056076,20825,22438,2035,3158
93981000,114.1801166,22.3056121,21035,22647,1999,3114
93982000,114.1801216,22.3056164,21344,22957,1964,3064
93983000,114.1801277,22.3056195,21601,23214,1940,3042
93984000,114.1801355,22.3056222,21723,23336,1939,3044
93985000,114.1801416,22.3056268,21849,23462,1947,3060
93986000,114.1801474,22.3056314,21808,23421,1947,3055
93987000,114.1801535,22.3056363,21810,23423,1906,2990
93988000,114.1801594,22.3056418,21886,23499,1826,2870
93989000,114.1801658,22.3056481,21834,23447,1757,2768
93990000,114.1801707,22.3056548,21807,23420,1707,2690
93991000,114.1801761,22.3056623,21746,23359,1674,2640
93992000,114.1801794,22.3056694,21705,23317,1631,2570
93993000,114.1801813,22.3056772,21745,23358,1594,2512
93994000,114.1801825,22.3056868,21824,23437,1568,2472
93995000,114.1801849,22.305696,22216,23829,1524,2406
93996000,114.1801897,22.3057043,22251,23864,1468,2337
93997000,114.1801942,22.3057121,22400,24013,1409,2251
93998000,114.1802006,22.3057204,22677,24290,1348,2185
93999000,114.1802044,22.3057281,22943,24556,1296,2111
94000000,114.1802076,22.3057365,23107,24720,1274,2078
94001000,114.1802115,22.3057449,23143,24756,1230,2010
94002000,114.180214,22.3057535,22990,24603,1187,1939
94003000,114.1802169,22.3057618,22977,24590,1169,1904
94004000,114.1802199,22.3057696,22917,24529,1151,1863
94005000,114.1802225,22.305777,22901,24514,1131,1826
94006000,114.1802251,22.3057844,22763,24376,1112,1794
94007000,114.1802281,22.3057929,22544,24157,1096,1762
94008000,114.1802303,22.3058013,22416,24029,1089,1751
94009000,114.1802305,22.305811,22356,23969,1085,1736
94010000,114.1802273,22.3058186,22306,23918,1076,1714
94011000,114.1802195,22.3058222,22364,23977,1074,1704
94012000,114.1802105,22.3058223,22377,23990,1064,1678
94013000,114.1802023,22.3058184,22453,24065,1041,1642
94014000,114.1801955,22.3058138,22493,24106,1018,1610
94015000,114.1801882,22.3058093,22599,24211,1003,1584
94016000,114.180181,22.3058047,22634,24247,996,1569
94017000,114.1801748,22.3057986,22769,24382,992,1560
94018000,114.180168,22.3057925,22754,24367,992,1555
94019000,114.1801597,22.3057876,22891,24504,988,1549
94020000,114.1801524,22.3057821,22930,24543,975,1531
94021000,114.1801456,22.3057763,23128,24742,965,1517
94022000,114.1801392,22.3057703,23151,24764,956,1505
94023000,114.1801321,22.3057641,23176,24789,945,1488
94024000,114.1801241,22.3057594,23209,24822,936,1471
94025000,114.1801162,22.3057552,23146,24759,936,1467
94026000,114.1801101,22.3057499,23178,24791,942,1472
94027000,114.1801032,22.3057436,23108,24722,952,1480
94028000,114.180096,22.3057375,22986,24599,960,1482
94029000,114.1800886,22.3057315,22961,24574,973,1494
94030000,114.1800812,22.3057271,22941,24554,990,1506
94031000,114.1800758,22.3057216,23074,24687,1011,1530
94032000,114.1800702,22.3057163,23077,24690,1031,1551
94033000,114.1800639,22.3057121,23153,24767,1048,1571
94034000,114.1800575,22.3057076,23174,24787,1063,1588
94035000,114.1800528,22.3057024,23143,24756,1077,1608
94036000,114.1800485,22.3056965,23174,24787,1099,1635
94037000,114.1800464,22.3056896,23162,24775,1111,1643
94038000,114.1800472,22.3056823,23220,24834,1116,1648
