version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,94032000,13198,13854,25775,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94033000,13387,13745,25803,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94034000,13525,13628,25790,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94035000,13622,13525,25823,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94036000,13788,13501,25944,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94037000,13716,13519,25798,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94038000,13455,13592,25603,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94039000,12992,13618,25186,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94040000,12559,13530,24701,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94041000,12091,13277,24182,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94042000,13301,14538,26612,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94043000,13239,14291,26157,0,0,0,0,0,0,0
