iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
93898000,0,1,1,1171368248954360692736,5.620555877685547,-3.2232491970062256,9.69736099243164,20.059711456298828,-19.92271614074707,58.81645965576172,0.04963957518339157,0.012105496600270271,0.01758415997028351,0.10397104918956757,-0.04469708725810051,0.1449873149394989
93899000,0,1,1,1171368248954360692736,5.545044422149658,-3.240858554840088,9.6300630569458,19.38134002685547,-19.481496810913086,57.689002990722656,0.03925066068768501,-0.0048463549464941025,0.023281103000044823,0.07812187075614929,-0.04457392171025276,0.14000993967056274
93900000,0,1,1,1171368248954360692736,5.483661651611328,-3.2748160362243652,9.633160591125488,18.727550506591797,-19.107948303222656,56.76545715332031,0.036686286330223083,-0.010385246016085148,0.02630673348903656,0.057880841195583344,-0.04554351791739464,0.138146311044693
93901000,0,1,1,1171368248954360692736,5.441611289978027,-3.3142194747924805,9.675457954406738,18.26025390625,-19.072097778320312,56.46536636352539,0.0377986878156662,-0.0053223296999931335,0.024484213441610336,0.05861813947558403,-0.046523433178663254,0.13835272192955017
93902000,0,1,1,1171368248954360692736,5.307364463806152,-3.264857292175293,9.428990364074707,17.645055770874023,-18.827241897583008,55.243751525878906,0.02344597689807415,-0.002235082909464836,0.010885732248425484,0.04172687605023384,-0.04093492776155472,0.1075630784034729
93903000,0,1,1,1171368248954360692736,5.039217948913574,-3.063361644744873,8.829658508300781,16.750991821289062,-17.880939483642578,52.59314727783203,0.01588496007025242,0.0006981517653912306,0.006279108114540577,0.03937976807355881,-0.03422103449702263,0.08620423078536987
93904000,0,1,1,1171368248954360692736,4.831683158874512,-2.868095874786377,8.277091979980469,16.07524871826172,-17.148849487304688,50.571144104003906,0.038012731820344925,0.007111565209925175,0.0056129819713532925,0.05750422924757004,-0.03962918370962143,0.09971345961093903
93905000,0,1,1,1171368248954360692736,4.62429141998291,-2.6800150871276855,7.8071980476379395,15.364053726196289,-16.362613677978516,48.459617614746094,0.01664789952337742,2.261251211166382e-06,0.009760405868291855,0.04157981649041176,-0.0324251726269722,0.08752533793449402
93906000,0,1,1,1171368248954360692736,4.405616760253906,-2.556633472442627,7.390988349914551,14.549580574035645,-15.548157691955566,46.22309112548828,0.013685258105397224,-0.003092812839895487,0.010892852209508419,0.03469870984554291,-0.026625972241163254,0.07343579083681107
93907000,0,1,1,1171368248954360692736,4.288437843322754,-2.4706358909606934,7.156620025634766,14.031501770019531,-15.024635314941406,44.928321838378906,0.02480042539536953,-0.0027228593826293945,0.016551561653614044,0.06002965196967125,-0.024303298443555832,0.08989530056715012
93908000,0,1,1,1171368248954360692736,4.1040940284729,-2.377291440963745,6.808492183685303,13.280618667602539,-14.299959182739258,42.87896728515625,0.00873068068176508,-0.0015186755917966366,0.0075378622859716415,0.022403176873922348,-0.019397970288991928,0.04986787587404251
93909000,0,1,1,1171368248954360692736,3.9352097511291504,-2.287609338760376,6.5064496994018555,12.665664672851562,-13.694380760192871,41.135475158691406,0.013289293274283409,-0.0017848205752670765,0.009555748663842678,0.02965546026825905,-0.019608357921242714,0.058503635227680206
93910000,0,1,1,1171368248954360692736,3.7847304344177246,-2.189844846725464,6.207363128662109,12.246572494506836,-13.316144943237305,39.72219467163086,0.0156616922467947,0.0006205448880791664,0.007752652280032635,0.04385443031787872,-0.020544007420539856,0.06626638025045395
93911000,0,1,1,1171368248954360692736,3.6546030044555664,-2.1005401611328125,5.94598388671875,11.877119064331055,-12.971056938171387,38.45399475097656,0.01787247136235237,0.0005308361724019051,0.009468797594308853,0.04627252742648125,-0.023280005902051926,0.07291296124458313
93912000,0,1,1,1171368248954360692736,3.572551727294922,-2.0328588485717773,5.779341697692871,11.620341300964355,-12.738265991210938,37.565345764160156,0.023470088839530945,-0.000336354598402977,0.013382047414779663,0.05787992104887962,-0.029054837301373482,0.08774672448635101
93913000,0,1,1,1171368248954360692736,3.4619672298431396,-1.9609583616256714,5.56233024597168,11.268840789794922,-12.423185348510742,36.4094352722168,0.01792510226368904,-0.0006006141193211079,0.011620980687439442,0.04362986236810684,-0.033533427864313126,0.0876738652586937
93914000,0,1,1,1171368248954360692736,3.352729082107544,-1.8998003005981445,5.379712104797363,10.849823951721191,-12.01192855834961,35.184085845947266,0.013344887644052505,-0.002935266587883234,0.012339204549789429,0.02988418936729431,-0.026689039543271065,0.07942996174097061
