gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04
2,21,5,0,8,71,2,205,9786709,1431655765,1431655765,1431846912
6,21,2,11,4,90,2,0,1707099499,3756033716,544342016,45744133
1,137,0,0,8,19,2,0,3322765308,6290943,3221356511,4261404668
2,27,1,0,8,23,2,175,286001038,4073230970,2574950513,3422470144
2,21,1,0,8,22,2,0,297144230,1093971677,783360805,5947392
1,137,0,0,8,19,2,0,1393123325,4292869631,3757965279,4261404668
6,9,2,5,4,89,2,32,1857032701,4021600253,2485370880,45744133
2,27,5,0,8,72,2,32,9786709,1431655765,1431655765,1431846912
6,21,2,11,4,90,2,32,1856885079,4013211648,2451742720,45744133
2,21,5,0,8,71,2,32,9786709,1431655765,1431655765,1431846912
6,9,0,5,4,14,2,224,1857032701,4021600253,2485370880,45744133
6,9,2,5,4,89,2,0,1857032701,4021600253,2485370880,45744133
2,27,5,0,8,72,2,0,9786709,1431655765,1431655765,1431846912
6,21,2,11,4,90,2,0,1856885079,4013211648,2451742720,45744133
2,21,5,0,8,71,2,0,9786709,1431655765,1431655765,1431846912
0,23,4,0,10,82,2,32,2338107881,547684666,848972300,3169132623
0,12,4,0,10,87,2,32,2335224297,547701527,12224967,1676861497
1,137,0,0,8,19,2,0,2584829949,4292869631,3757834335,4261404669
0,23,4,0,10,82,2,224,2338107881,547684666,848972300,3169132623
0,12,4,0,10,87,2,0,2335224297,547701527,12224967,1676861497
3,23,0,0,10,11,2,0,948982121,991438897,67386850,0
3,38,0,0,10,7,2,32,948982121,991438897,67386850,0
3,6,0,0,10,26,2,32,948982121,991438897,67386850,0
3,16,2,0,10,67,2,32,948982121,991438897,67386850,0
3,8,2,0,10,68,2,32,948982121,991438897,67386850,0
3,16,0,0,10,10,2,32,948982121,991438897,67386850,0
3,8,0,0,10,6,2,32,948982121,991438897,67386850,0
3,13,0,0,10,8,2,32,948982121,991438897,67386850,0
3,16,2,0,10,67,2,32,948982121,991438897,67386850,0
3,8,2,0,10,68,2,32,948982121,991438897,67386850,0
2,27,1,0,8,23,2,32,323750667,311956176,3974764222,567312384
2,21,1,0,8,22,2,0,326897261,2168236459,2620089552,848674816
1,137,0,0,8,19,2,0,3328473616,67109120,3221225472,512
6,9,2,5,4,89,2,32,1885340608,0,165888,45744133
6,9,0,5,4,14,2,0,1885340608,0,165888,45744133
6,9,2,5,4,89,2,1,1885340608,0,165888,45744133
6,21,0,11,4,13,2,1,1885340617,3766197495,1470011392,45744133
6,21,2,11,4,90,2,32,1885340617,3766197495,1470011392,45744133
2,21,5,0,8,71,2,32,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,1399939339,3343024192,235241951,2952654720
6,21,2,11,4,90,2,0,1885340617,3766197495,1470011392,45744133
2,21,5,0,8,71,2,0,9786709,1431655765,1431655765,1431846912
2,29,1,0,8,36,2,0,282537480,228592947,4023024161,2482864128
2,26,1,0,8,38,2,32,270497971,1347277022,3780977579,3825319936
2,27,1,0,8,23,2,0,272180479,2746544265,2148536415,4294098944
2,21,1,0,8,22,2,1,271085311,2343898761,2149568328,1676967936
1,137,0,0,8,19,2,32,2590641479,3856541809,390560305,3245214320
0,23,0,0,10,0,2,0,583095850,2275715984,524436,487571029
0,25,0,0,10,1,2,0,583095850,2275715984,1073520775,446576939
0,12,0,0,10,18,2,0,583095850,2275715984,1073029532,192332710
2,27,5,0,8,72,2,32,9786709,1431655765,1431655765,1431846912
6,21,2,11,4,90,2,32,2075002166,290807853,3609651200,45744133
6,9,0,5,4,14,2,0,2013265920,0,0,45744133
6,21,0,11,4,13,2,1,2075002166,290807853,3609651200,45744133
2,27,5,0,8,72,2,0,9786709,1431655765,1431655765,1431846912
6,21,2,11,4,90,2,0,2075002166,290807853,3609651200,45744133
5,3,0,0,10,37,2,0,583051905,2275713919,1067759469,3038582781
2,21,5,0,8,71,2,32,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,205,3322830844,6290943,3221356511,4261404668
2,21,5,0,8,71,2,175,9786709,1431655765,1431655765,1431846912
2,29,1,0,8,36,2,0,9786709,1431655765,1431655765,1431846912
2,26,1,0,8,38,2,0,9786709,1431655765,1431655765,1431846912
2,27,1,0,8,23,2,0,9786709,1431655765,1431655765,1431846912
2,21,1,0,8,22,2,0,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,1393188861,4292869631,3757965279,4261404668
6,9,0,5,4,14,2,144,135548988,1576825112,1612406784,45809665
6,16,0,6,4,17,2,205,135549160,1234202520,2851817472,45809665
6,21,0,11,4,13,2,205,135549992,2694054302,1495703552,45809665
6,9,2,5,4,89,2,32,135548988,1576825112,1612406784,45809665
6,21,2,11,4,90,2,32,135549992,2694054302,1495703552,45809665
2,21,5,0,8,71,2,32,9786709,1431655765,1431655765,1431846912
2,27,5,0,8,72,2,32,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,2584895485,4292869631,3757834335,4261404669
6,9,2,5,4,89,2,231,135548988,1576825112,1612406784,45809665
6,21,2,11,4,90,2,205,135549992,2694054302,1495703552,45809665
2,21,5,0,8,71,2,205,9786709,1431655765,1431655765,1431846912
2,27,5,0,8,72,2,0,9786709,1431655765,1431655765,1431846912
3,23,0,0,10,11,2,0,948965728,993005765,135540119,755954455
3,37,0,0,10,24,2,0,948965728,993005765,135540119,758562177
3,39,0,0,10,25,2,0,948965728,993005765,135540119,755310895
3,38,0,0,10,7,2,0,948965728,993005765,135540119,755154980
3,6,0,0,10,26,2,0,948965728,993001664,135540119,755322659
3,6,2,0,10,66,2,32,948965728,993001664,135540119,755322659
3,6,2,0,10,66,2,0,948965728,993001664,135540119,755322659
3,8,2,0,10,68,2,32,948965728,993001664,135540119,755437353
3,16,0,0,10,10,2,0,948965728,993001664,135540119,759058614
3,8,0,0,10,6,2,0,948965728,993001664,135540119,755437353
3,8,2,0,10,68,2,0,948965728,993001664,135540119,755437353
3,13,0,0,10,8,2,0,948965728,993001664,135540119,758771897
2,26,1,0,8,38,2,0,9786709,1431655765,1431655765,1431846912
2,27,1,0,8,23,2,0,9786709,1431655765,1431655765,1431846912
2,21,1,0,8,22,2,0,9786709,1431655765,1431655765,1431846912
2,29,1,0,8,36,2,0,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,3328480591,3623619838,3221225472,512
6,9,0,5,4,14,2,0,278201396,1537479075,3847940096,45809665
6,9,2,5,4,89,2,32,278201396,1537479075,3847940096,45809665
6,16,0,6,4,17,2,0,278201592,1945109585,3160928256,45809665
6,9,2,5,4,89,2,205,278201396,1537479075,3847940096,45809665
6,21,0,11,4,13,2,205,278201545,3604764181,862380032,45809665
6,21,2,11,4,90,2,32,278201545,3604764181,862380032,45809665
2,21,5,0,8,71,2,32,34021984,423758287,352223521,516014080
2,27,5,0,8,72,2,32,34021984,34867663,36880131,138543104
1,137,0,0,8,19,2,1,1399457889,582554320,2265160743,4108818424
6,21,2,11,4,90,2,0,278201545,3604764181,862380032,45809665
2,21,5,0,8,71,2,205,34021984,423758287,352223521,516014080
2,27,5,0,8,72,2,0,34021984,34867663,36880131,138543104
2,26,1,0,8,38,2,0,17237518,3668829187,3309970,2852438016
2,27,1,0,8,23,2,0,17237518,127316240,2036121,2852438016
2,29,1,0,8,36,2,0,17237518,3759319754,3081616,2852438016
2,21,1,0,8,22,2,0,17237518,3734159432,750745,2852438016
1,137,0,0,8,19,2,0,2585547775,4294967295,4294967295,4294967295
0,23,0,0,10,0,2,0,583095850,2275724332,510778478,2852658652
0,18,0,0,10,4,2,0,583095850,2275724332,510778478,2852658652
0,25,0,0,10,1,2,0,583095850,2275724332,510778478,2852658652
0,12,0,0,10,18,2,0,583095850,2275724332,510778478,2852658652
6,9,2,5,4,89,2,32,469873083,2590786666,2816137216,45809665
6,9,0,5,4,14,2,0,469873083,2590786666,2816137216,45809665
6,9,2,5,4,89,2,205,469873083,2590786666,2816137216,45809665
6,21,0,11,4,13,2,205,503461261,3945294686,3708483584,45809665
6,21,2,11,4,90,2,32,503461261,3945294686,3708483584,45809665
2,27,5,0,8,72,2,32,67574528,184546072,1006199079,134168576
5,3,0,0,10,37,2,0,583051905,2275722435,1020614069,3187938329
6,21,2,11,4,90,2,0,503461261,3945294686,3708483584,45809665
2,27,5,0,8,72,2,205,67574528,184546072,1006199079,134168576
2,21,5,0,8,71,2,32,67573247,4009749272,1006258177,1610596352
1,137,0,0,8,19,2,32,3322699772,6290943,3221356511,4261404668
2,21,5,0,8,71,2,175,67573247,4009749272,1006258177,1610596352
2,29,1,0,8,36,2,0,50806769,1372078526,1573149509,540917760
2,21,1,0,8,22,2,0,50806769,1359522753,973397572,2101444608
2,26,1,0,8,38,2,32,50806768,1074252224,2420130058,2847965184
2,27,1,0,8,23,2,0,50806769,1984464513,1757731908,2567028736
0,24,0,0,10,2,2,32,583095850,2275724332,510778478,2852658652
1,137,0,0,8,19,2,0,1393057789,4292869631,3757965279,4261404668
6,9,2,5,4,89,2,32,613827956,5386,1764659200,45809665
6,21,2,11,4,90,2,32,545433921,4874,1789585408,45809665
2,21,5,0,8,71,2,32,117440511,4278190081,303584905,3796025344
6,16,0,6,4,17,2,144,605390916,4874,1778974720,45809665
6,9,0,5,4,14,2,205,613827956,5386,1764659200,45809665
6,21,0,11,4,13,2,0,545433921,4874,1789585408,45809665
6,9,2,5,4,89,2,0,613827956,5386,1764659200,45809665
6,21,2,11,4,90,2,0,545433921,4874,1789585408,45809665
2,21,5,0,8,71,2,0,117440511,4278190081,303584905,3796025344
0,23,4,0,10,82,2,32,2338185705,809461106,2492705007,3174401
0,24,4,0,10,83,2,32,2338447849,807101810,2512150257,2154770432
0,25,4,0,10,84,2,32,2338709993,814180594,2491014368,4293838848
0,12,4,0,10,87,2,32,2335302121,813002098,2506236495,2147006465
5,3,4,0,10,94,2,32,2332942825,815952898,2315210545,4294723584
5,4,4,0,10,85,2,32,2333204969,815952898,2315232465,4294821889
1,137,0,0,8,19,2,0,2584764413,4292869631,3757834335,4261404669
0,23,4,0,10,82,2,231,2338185705,809461106,2492705007,3174401
0,24,4,0,10,83,2,0,2338447849,807101810,2512150257,2154770432
0,25,4,0,10,84,2,0,2338709993,814180594,2491014368,4293838848
0,12,4,0,10,87,2,0,2335302121,813002098,2506236495,2147006465
